Packet
4F,9D
E2,B7
68,2F
8D,5A
31,7C
BB,FD
F3,A0
26,E9
9C,18
5A,F2
40,F7
D9,63
1E,9B
8C,B0
E6,7A
A3,2D
5B,B9
F4,C8
0D,A2
95,89
61,5E
EC,F1
38,6F
75,1D
B2,95
C4,D7
07,8E
9A,E8
23,3C
BF,E4
79,42
56,8D
EA,4C
4B,FC
91,1A
13,C5
6D,25
F8,79
22,3B
AE,6C
58,94
C9,F6
14,5D
9F,E3
6B,0F
E5,BC
3A,86
B6,50
FD,C4
44,39
8E,D6
2D,A8
F1,02
67,7F
A8,13
1F,4E
B3,F9
D4,68
0C,96
90,ED
EC,23
7A,DA
36,5C
D9,87
41,1F
85,C0
28,4A
F6,30
79,B8
B5,9E
63,51
CE,EA
02,7C
4C,4D
E0,07
17,95
DB,3F
5E,D3
A2,6B
F8,12
36,79
9A,95
C7,53
4B,2E
A5,D4
E2,63
6E,8A
83,B6
3F,F0
D2,C5
0E,3B
52,A7
BE,64
61,F8
FD,01
47,9D
8A,52
24,B4
E9,2C
35,F3
